"estimate.fixed","st_err.fixed","estimate.rand","st_err.rand"
-0.0152768018379756,0.174797510754651,0.0436971204935153,0.170691513188759
0.117324512251798,0.183197971915576,0.402753455808088,0.170627500428815
0.204148959838476,0.177523586004211,-0.477877685676641,0.177192243384865
-0.0891149348458475,0.172403942802931,0.358051722494896,0.181396209810913
0.12923526609416,0.169571098875373,-0.0145647782940297,0.170675190905152
0.209888834602196,0.173455605968862,-0.0155401672811304,0.176297877298131
-0.0870855142176727,0.170425859700569,0.0877447836965044,0.171070928443756
0.408565885786413,0.178489416605859,-0.281852844582123,0.177538801856682
0.430347276518867,0.179914266011987,0.319137024619667,0.179399793342245
-0.0624422533377591,0.176722999437184,-0.58390213631305,0.194082282768335
0.133198890543321,0.172162642534388,0.224417479543086,0.167789685132553
0.0470355271942544,0.177095117984109,-0.319137024619667,0.179399793342245
0.213903340086369,0.181761528150584,0.10465417623238,0.161808826240106
-0.108832209998114,0.176421996405439,-0.0784051335288598,0.177137783231246
0.319430770766361,0.175121565559512,0.310659998441621,0.176942577911466
0.0877447836965044,0.171070928443756,0.0970522975169311,0.166576234406522
0.509332452864279,0.177521369076163,0.607959623153013,0.166432003383062
-0.353103985872949,0.176098791797331,-0.33679424050499,0.194493474813716
0.385211251203667,0.173116439351739,-0.129591809791892,0.180121802911869
0.211072323215053,0.168027275682969,-0.46117571512217,0.186568338517164
0.23999889028833,0.173592484247971,0.394203901559008,0.168738215087945
0.104391736683823,0.172775362164791,-0.124943920254184,0.176849175222044
-0.325194641129676,0.181138533350298,0.099769374751131,0.1688972578037
-0.196434629893222,0.181236947203916,0.200478480180444,0.169482973261518
-0.307333196073707,0.180578748474247,0.0167508104248153,0.183036715760507
0.484887025495755,0.172953491800055,-0.310659998441621,0.176942577911466
-0.134793222444944,0.18371695348503,0.218938920032178,0.177197983113099
0.0891149348458475,0.172403942802931,0.28290069525443,0.183066420740348
0.389639316367267,0.170845077803224,0.372727653644223,0.181085641126008
0.171142663370306,0.176608818030491,0.322123156267409,0.180258664235816
0.0474582401042247,0.177889565351584,-0.211841356036727,0.180873350021678
0.286424474298191,0.174194184008385,0.444874885560553,0.170649426047562
0.149795041158617,0.173237482539088,-0.157630841245431,0.177737139988789
0.0470355271942544,0.177095117984109,0.160942252593084,0.189341813920574
0.177000482902975,0.171961026591007,-0.186428440554051,0.184390394461449
-0.126058398161517,0.177639239554276,0.156235703170358,0.176944038556785
-0.1883838514695,0.185363541638041,-0.363995144027939,0.175071307145484
0,0.177465712499983,-0.126058398161517,0.177639239554276
0.200347984688878,0.183051268872851,0,0.192927042356577
0.0687713630133466,0.185472842917853,0.711087136925566,0.173569451039754
0.0309468934246351,0.175924072417894,0.156864385698855,0.16903300100257
0.106097920665101,0.174185389132324,0.300377929464466,0.173922736689811
0.668596175928177,0.179525982691236,0.112057408915717,0.16744998584159
-0.125650731047387,0.1671937775681,0.0598742254024907,0.173047508786186
-0.119798462827328,0.173155964537481,0.0458338026127594,0.174816946817326
0.339755048422733,0.168967416922424,0.109793645622905,0.177201856457369
0.130836963560236,0.180988750953465,-0.137629809306735,0.185649098261646
-0.0156772509134289,0.177073800408359,-0.0136801039040799,0.165410284272686
0.188179638973437,0.170373623781159,0.457773851919302,0.170446502410832
0.251953801829794,0.183793954241095,0.0563974425976033,0.167944002916141
-0.182796870212683,0.174776268343428,0.375741338041962,0.161698250562442
-0.0492710490067825,0.181257228419125,-0.426427330842382,0.179055733513539
